bufferRadius_max,col_index,row_index,dem_mean,risknum_max
2.5,8,22,4.49202024602591,
2.5,8,23,4.46574881778497,
,8,24,4.42410112727307,
,8,25,4.39800800425953,
4,8,26,4.36379418036575,
4,8,27,4.30534145653497,
,8,28,4.28716732460677,
,8,29,4.22789264727156,
,8,30,4.19946759180674,
,8,31,4.15455341339111,
,8,32,4.10411093165827,
,8,33,4.09999990463257,
,8,34,4.09246426273137,
,8,35,4.03144556200892,
2.5,8,36,4.00074620092572,
2.5,8,37,3.96348124386933,
2.5,8,38,3.91516257971571,
,8,39,3.88391694237234,
,8,40,3.83779927539407,
,8,41,3.79999995231628,
,8,42,3.79915685710747,
7.5,8,43,3.78437447547913,
,8,44,3.70279386541754,
,8,45,3.70000004768372,
,8,46,3.63640559987648,
,8,47,3.60582155937108,
,8,48,3.56497643954147,
,8,49,3.52032337803447,
2.5,8,50,3.5,
2.5,8,51,3.49241922687918,
,8,52,3.45748968652871,
,8,53,3.40000009536743,
7.5,8,54,3.39174548776327,
7.5,8,55,3.31406550527445,
7.5,8,56,3.29999995231628,
2.5,8,57,3.24264657594024,
2.5,8,58,3.20623700472315,
2.5,8,59,3.20000004768372,
,8,60,3.18229207260253,
,8,61,3.13120046709049,
,8,62,3.09844642966848,
,8,63,3.06155959222692,
,8,64,3.00591881622959,
,8,65,2.98471316660793,
,8,66,2.92775408177547,
,8,67,2.89952506404898,
,8,68,2.89075446128845,
,8,69,2.8549138668468,
,8,70,2.80657824866294,
,8,71,2.79306467838509,
,8,72,2.72921066310307,
,8,73,2.70116155968894,
,8,74,2.66118895789412,
,8,75,2.61486142986513,
,8,76,2.59655134615926,
,8,77,2.57950281748011,
,8,78,2.5409883540258,
,8,79,2.49865535514298,
,9,0,5.19999980926514,
,9,1,5.19999980926514,
,9,2,5.18562769470593,
,9,3,5.13881865028135,
,9,4,5.09999990463257,
,9,5,5.09976039152386,
,9,6,5.08323707144286,
,9,7,5.0060580142258,
,9,8,5,
,9,9,4.93873171703372,
,9,10,4.90622667849239,
2.5,9,11,4.86656415311956,
,9,12,4.82146672734297,
,9,13,4.79971138691738,
,9,14,4.7919030525928,
2.5,9,15,4.7585062943443,
,9,16,4.69999980926514,
2.5,9,17,4.69508467372784,
2.5,9,18,4.6130584338569,
2.5,9,19,4.60039864263415,
2.5,9,20,4.5441111373611,
,9,21,4.50750377051047,
,9,22,4.49944005541394,
,9,23,4.48146869148189,
,9,24,4.43291440143077,
,9,25,4.39806528794887,
,9,26,4.36392215676186,
4,9,27,4.30543429972019,
4,9,28,4.28719105603324,
,9,29,4.22800772648973,
,9,30,4.19986037664634,
,9,31,4.18809356701065,
,9,32,4.1520773540742,
,9,33,4.10798188210099,
,9,34,4.09256042946048,
,9,35,4.03157340386164,
,9,36,4.00080029561455,
,9,37,3.96354372379218,
2.5,9,38,3.91523891043749,
2.5,9,39,3.89599395207695,
2.5,9,40,3.8778267610447,
2.5,9,41,3.83934612675912,
7.5,9,42,3.79916375890949,
7.5,9,43,3.78450238979588,
,9,44,3.70279810093411,
,9,45,3.70000004768372,
,9,46,3.6365070040395,
,9,47,3.60585920684339,
,9,48,3.56505556906732,
,9,49,3.52038330014395,
2.5,9,50,3.5,
,9,51,3.49246494444928,
,9,52,3.45758302059394,
,9,53,3.40000009536743,
,9,54,3.39175779337762,
,9,55,3.31419225129544,
7.5,9,56,3.29999995231628,
7.5,9,57,3.24276452123417,
7.5,9,58,3.20625811106455,
7.5,9,59,3.20000004768372,
2.5,9,60,3.18237645943579,
2.5,9,61,3.13125489090186,
,9,62,3.09850868836949,
,9,63,3.06168741794508,
,9,64,3.00600659409038,
,9,65,2.98474196335883,
,9,66,2.92786409566921,
,9,67,2.8999667621073,
,9,68,2.89935132314161,
,9,69,2.86792585710818,
,9,70,2.80819563637195,
,9,71,2.79316575285418,
,9,72,2.72933857741982,
,9,73,2.70121067417377,
,9,74,2.66125662040746,
,9,75,2.61493281898713,
,9,76,2.59975791701577,
,9,77,2.58914341952288,
,9,78,2.55023954656311,
,9,79,2.4986673310634,
,10,0,5.24474688005538,
,10,1,5.21055361499599,
,10,2,5.19543903979001,
,10,3,5.17542262607541,
,10,4,5.13672702254671,
,10,5,5.09976218862462,
,10,6,5.08336284535349,
,10,7,5.00606716808149,
,10,8,5,
,10,9,4.93882615774039,
,10,10,4.9062685621771,
2.5,10,11,4.8666369693487,
,10,12,4.82153063598091,
2.5,10,13,4.80000019073486,
2.5,10,14,4.79293945112752,
2.5,10,15,4.7598371400415,
2.5,10,16,4.69999980926514,
2.5,10,17,4.6950917633912,
,10,18,4.61318383936787,
,10,19,4.6004024718512,
,10,20,4.54422179477459,
,10,21,4.50752943748835,
,10,22,4.5,
,10,23,4.48272690401713,
